Date,Close_sp500,Close_tbill,Close_msft
2002-05-09,1073.01,1.73,25.98
2002-05-10,1054.99,1.73,24.94
2002-05-13,1074.56,1.73,26.26
2002-05-14,1097.28,1.74,27.35
2002-05-15,1091.07,1.73,27.29
2002-05-16,1098.23,1.74,27.78
2002-05-17,1106.59,1.72,27.93
2002-05-20,1091.88,1.71,26.92
2002-05-21,1079.88,1.7,26.01
2002-05-22,1086.02,1.7,26.76
2002-05-23,1097.08,1.7,27.32
2002-05-24,1083.82,1.71,26.54
2002-05-28,1074.55,1.72,26.08
2002-05-29,1067.66,1.72,25.94
2002-05-30,1060.11,1.71,26.24
2002-05-31,1067.14,1.71,25.37
2002-06-03,1040.68,1.72,24.63
2002-06-04,1040.69,1.72,24.91
2002-06-05,1049.9,1.72,25.75
2002-06-06,1029.15,1.71,25.87
2002-06-07,1027.53,1.71,25.91
2002-06-10,1030.74,1.71,26.33
2002-06-11,1013.6,1.71,26.2
2002-06-12,1020.26,1.7,27.68
2002-06-13,1009.56,1.68,27.02
2002-06-14,1007.27,1.67,27.54
2002-06-17,1036.17,1.69,27.75
2002-06-18,1037.14,1.69,27.91
2002-06-19,1019.99,1.67,27.09
2002-06-20,1006.29,1.69,26.96
2002-06-21,989.14,1.68,26.06
2002-06-24,992.72,1.69,26.99
2002-06-25,976.14,1.69,26.39
2002-06-26,973.53,1.66,26.98
2002-06-28,989.82,1.66,27.26
2002-07-01,968.65,1.68,26.25
2002-07-02,948.09,1.68,25.64
2002-07-03,953.99,1.68,25.84
2002-07-05,989.03,1.68,27.34
2002-07-08,976.98,1.69,26.38
2002-07-09,952.83,1.68,26.52
2002-07-10,920.47,1.69,26.04
2002-07-11,927.37,1.68,26.37
2002-07-12,921.39,1.67,25.85
2002-07-15,917.93,1.67,25.82
2002-07-16,900.94,1.67,25.54
2002-07-17,906.04,1.69,25.92
2002-07-18,881.56,1.69,25.47
2002-07-19,847.75,1.67,24.7
2002-07-22,819.85,1.67,23.68
2002-07-23,797.7,1.66,21.44
2002-07-24,843.43,1.64,23.04
2002-07-25,838.68,1.66,21.35
2002-07-26,852.84,1.65,22.6
2002-07-29,898.96,1.68,24.05
2002-07-30,902.78,1.68,23.97
2002-07-31,911.62,1.66,23.91
2002-08-01,884.66,1.64,22.8
2002-08-02,864.24,1.59,22.13
2002-08-05,834.6,1.6,21.92
2002-08-06,859.57,1.61,22.76
2002-08-07,876.77,1.56,23.47
2002-08-08,905.46,1.58,24.38
2002-08-09,908.64,1.58,23.98
2002-08-12,903.8,1.63,24.16
2002-08-13,884.21,1.6,23.45
2002-08-14,919.62,1.6,24.78
2002-08-16,928.77,1.59,24.92
2002-08-19,950.7,1.62,25.92
2002-08-20,937.43,1.58,25.44
2002-08-21,949.36,1.6,26.06
2002-08-22,962.7,1.61,26.53
2002-08-23,940.86,1.62,26.03
2002-08-26,947.95,1.62,25.97
2002-08-27,934.82,1.64,25.34
2002-08-28,917.87,1.64,24.61
2002-08-29,917.8,1.64,25.21
2002-08-30,916.07,1.64,24.46
2002-09-03,878.02,1.61,23.43
2002-09-04,893.4,1.59,24.03
2002-09-05,879.15,1.58,22.88
2002-09-06,893.92,1.62,23.83
2002-09-09,902.96,1.64,24.27
2002-09-10,909.58,1.63,24.82
2002-09-11,909.45,1.65,24.21
